year,TS,VS,N,P,K,TS_liquid,VS_liquid,N_liquid,P_liquid,K_liquid,TS_DM_effluent,manure_applied,N_applied,P_applied
,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
2041,242027451155.76764,796170958916.2794,104363089641453.72,68577470836407.05,31260541900.549824,19335660224.119843,17843433740.24344,6684601529419.763,2821620715873.7124,4882904488.510687,1657342304.924558,21.564116372079994,7913.433768130737,3900.0
2042,248748811589.90524,818282243033.2697,107267858277753.72,70484758140596.97,32134273605.88994,19603967932.901432,18091050641.175175,6777793484699.832,2860930956284.901,4951146330.260632,1680340108.5344076,1.6587283219235462,608.7352606959379,300.0
2043,255562271333.16953,840696504912.1675,110212604424182.52,72418266690529.36,33020047989.185925,19872590917.854076,18338941537.28035,6871074341667.37,2900262824898.3965,5019388172.010576,1703364935.8160605,109.47243739022602,40177.20685648003,19800.0
2044,262487983039.61108,863480049736.343,113205781208375.55,74383591731864.77,33920341365.224216,20199992477.12049,18641082128.871075,6984079163116.881,2947987562003.0776,5101662464.216989,1731427926.610329,68.00319725354484,24959.018393184597,12300.0
2045,269488232881.41183,886508815352.3362,116231182667291.02,76370082390160.12,34830234098.07018,20417395371.91949,18841717322.1765,7059270070803.181,2979735987443.1323,5156058819.460469,1750062460.4502425,3.317036386167368,1217.5489340076404,600.0
2046,276581095762.9028,909842263437.1239,119296615656258.34,78382856750681.81,35752169508.87202,20687516737.68271,19091002978.462063,7152676974256.839,3019161540782.389,5224300661.210415,1773215720.3728018,1.6584762733878415,608.7822411412909,300.0
2047,283766006054.03876,933478538080.0715,122401898767999.6,80421765791747.23,36686147597.62973,20955988349.14607,19338770162.41211,7245660594062.693,3058363561598.1533,5292542502.960359,1796227572.783949,97.84740549234219,35918.65259595945,17700.0
2048,291063487691.12866,957485146015.0295,125555680758932.89,82492503946626.55,37634776744.076225,21284321441.5127,19641770128.602108,7358824645511.064,3106107232318.982,5375565163.196772,1824370409.272516,58.04327648544224,21308.013991655083,10500.0
2049,298431783892.618,981724743510.678,128740230300471.86,84583387573983.08,38592873182.38391,21490863921.01047,19832397950.98544,7430615596924.214,3136325441034.836,5429213150.41025,1842074050.372327,19.899574709689517,7305.801505058029,3600.0
2050,305889989577.2766,1006260122548.7911,131964006495958.89,86699954913513.55,39563012298.647484,21753099913.587696,20074401031.18386,7522144456136.173,3174851009295.6177,5497454992.160195,1864551421.1646595,1.6582626648671157,608.8238769931651,300.0
2051,313438128241.87726,1031091366392.5994,135226904399586.08,88842154512960.06,40545194092.86693,22015404438.419785,20316472235.84459,7613428441796.979,3213299399169.894,5565696833.910139,1887034666.1502676,77.93634825614578,28615.120801774206,14100.0
2052,321097122627.34735,1056287303848.4514,138538030732899.69,91015938647582.38,41542159009.7216,22338733624.287727,20614857918.425194,7725961444398.125,3260676201933.443,5649467862.176554,1914748596.3675199,0.0,0.0,0.0
2053,328825894097.5631,1081712781786.9016,141879650612921.97,93209680572738.28,42548459153.49102,22542250121.462246,20802663767.82253,7797113053385.028,3290612887733.8755,5702367481.360033,1932192867.5539067,3.3161735030464334,1217.7179702193566,600.0
2054,336647241776.06036,1107442805320.7908,145261372348638.56,95429741058817.94,43566801975.21631,22812264062.282497,21051837436.818405,7890684050005.27,3330090729119.6836,5770609323.10998,1955336919.6242132,1.6580525146974885,608.8657515828063,300.0
2055,344561779706.36017,1133479411793.2312,148683431717542.5,97676305277150.5,44597187474.89747,23084068963.375904,21302678022.90449,7984805194108.342,3369846327498.9497,5838851164.859923,1978634482.575077,59.68851008157366,21919.43636166696,10800.0
2056,352590945515.9219,1159893126290.1135,152154976863179.2,99955353074938.73,45642488162.160355,23418400277.8892,21611220951.99382,8100272006484.995,3418571696682.256,5923370561.156333,2007291452.3905036,63.00261712303984,23137.547552900785,11400.0
2057,360689915315.8216,1186536491284.3804,155656649942314.12,102254152812326.05,46696992011.391495,23621995249.708313,21799116813.48992,8170570517982.305,3448199606080.944,5975521812.3098135,2024742449.9749966,28.1840475034191,10351.271623441602,5100.0
2058,368880038188.7733,1213479729366.617,159198065584625.62,104579003988519.78,47763538538.578514,23887858379.443203,22044467521.83022,8263303165393.568,3487276764290.4814,6043763654.059761,2047530718.2379882,1.6578559444957148,608.9041233846211,300.0
2059,377162439738.3664,1240726541716.0105,162779433396436.03,106930074939791.16,48842127743.72141,24157004519.648567,22292846467.68564,8356524894224.881,3526606426906.954,6112005495.809708,2070600387.3984456,62.997195935587975,23138.613973680487,11400.0
2060,385559816005.5944,1268351608735.4417,166410492375988.84,109313756969399.42,49935764201.39249,24492347446.082428,22602327561.350967,8472470952289.646,3575523044412.649,6197273260.136117,2099344066.8070652,58.02215585654967,21312.18717385693,10500.0
2061,394024455731.4511,1296197975777.7095,170070973354675.06,111716707957197.3,51038471756.085365,24688532533.748535,22783391216.402763,8541122283601.105,3604426481696.978,6248676143.259596,2116159931.4641602,29.838602554320744,10960.819294748911,5400.0
2062,402579723905.0562,1324342472751.662,173771148464551.25,114145671411413.94,52153221988.73411,24952865506.34874,23027315705.96131,8633741923045.105,3643445181325.306,6316917985.009541,2138817043.4013233,1.6576724106273952,608.9394907281675,300.0
2063,411227729009.0108,1352792043742.262,177511524140700.66,116601026641407.2,53280014899.338715,25223348219.86677,23276921719.583115,8727543244348.729,3683032844989.8223,6385159826.759486,2162001275.988581,62.99019706278269,23139.941693199653,11400.0
2064,419992448606.97034,1381625595033.4956,181302399529983.66,119089550272086.75,54421987127.41799,25563765494.048847,23591087420.0997,8845375908326.787,3732785446019.2666,6471175959.115897,2191179899.4899006,0.0,0.0,0.0
2065,428825581138.9782,1410684212006.7568,185123058883928.4,121597621797276.58,55572898387.572586,25763303218.35584,23775232069.03304,8914871825870.426,3762107287784.525,6521830474.209377,2208283133.0019293,23.205132485037623,8525.548302330637,4200.0
2066,437751093948.7444,1440046742827.3809,188983725509597.9,124131957704506.69,56735852325.68305,26032745695.15298,24023888853.23661,9008222126562.205,3801503860845.241,6590072315.959324,2231378202.4416842,1.6574842509052685,608.971890912729,300.0
2067,446768657432.68304,1469712107231.4504,192884266077601.97,126692452350506.17,57910848941.7494,26301226828.15344,24271661785.148514,9101261325342.535,3840741968999.494,6658314157.709269,2254390870.9845757,61.32564445630373,22532.16958147355,11100.0
2068,455902701284.17377,1499760670461.6313,196835350601418.72,129286104729457.98,59101156940.23687,26640961233.514877,24585188097.42062,9219197222238.996,3890478568427.897,6745078658.095679,2283510962.872704,0.0,0.0,0.0
2069,465102807361.1148,1530026572268.4094,200815252950404.34,131898644122994.38,60300271905.853195,26833642724.41254,24763010569.182137,9286438814299.26,3918809090304.5312,6794984805.159162,2300026519.2353616,6.629313980418141,2435.989574554543,1200.0
